year;month;hour;state_event;country_event;airline_operator;route;aircraft_type;total_aboard;passengers_aboard;crew_aboard;all_fatalities;passengers_fatalities;crew_fatalities;all_killed_ground
1908;9;17.0;Virginia;United States;Military - U.S. Army;Demonstration;Wright Flyer III;2.0;1.0;1.0;1.0;1.0;0.0;0.0
1909;9;;;France;;Air show;Wright Byplane;1.0;0.0;1.0;1.0;0.0;0.0;0.0
1912;7;6.0;New Jersey;United States;Military - U.S. Navy;Test flight;Dirigible;5.0;0.0;5.0;5.0;0.0;5.0;0.0
1913;8;;;Canada;Private;;Curtiss seaplane;1.0;0.0;1.0;1.0;0.0;1.0;0.0
1913;9;18.0;;;Military - German Navy;;Zeppelin L-1 (airship);20.0;;;14.0;;;0.0
1913;10;10.0;;Germany;Military - German Navy;;Zeppelin L-2 (airship);28.0;;;28.0;;;0.0
1915;3;1.0;;Belgium;Military - German Navy;;Zeppelin L-8 (airship);41.0;0.0;41.0;17.0;0.0;17.0;0.0
1915;9;15.0;;Germany;Military - German Navy;;Zeppelin L-10 (airship);19.0;;;19.0;;;0.0
1916;7;;;;Military - German Army;;Schutte-Lanz S-L-10 (airship);20.0;;;20.0;;;0.0
1916;9;1.0;;;Military - German Navy;;Zeppelin L-32 (airship);22.0;;;22.0;;;0.0
1916;10;23.0;;;Military - German Navy;;Zeppelin L-31 (airship);19.0;0.0;19.0;19.0;0.0;19.0;0.0
1916;11;;;Germany;Military - German Army;;Super Zeppelin (airship);28.0;;;27.0;;;0.0
1916;11;23.0;;;Military - German Navy;;Zeppelin L-34 (airship);20.0;;;20.0;;;0.0
1917;3;;;Belgium;Military - German Army;;Airship;20.0;;;20.0;;;0.0
1917;3;;;;Military - German Navy;;Schutte-Lanz S-L-9 (airship);23.0;;;23.0;;;0.0
1917;5;5.0;;;Military - German Navy;;Zeppelin L-22 (airship);21.0;;;21.0;;;0.0
1917;6;8.0;;;Military - German Navy;;Zeppelin L-43 (airship);24.0;;;24.0;;;0.0
1917;6;;;;;;Zepplin L-48 (air ship);16.0;;;14.0;;;0.0
1917;8;7.0;;;Military - German Navy;;Zeppelin L-23 (airship);18.0;;;18.0;;;0.0
1917;10;7.0;;France;Military - German Navy;;Zeppelin L-44 (airship);18.0;;;18.0;;;0.0
1918;4;21.0;;;Military - German Navy;;Zeppelin L-59 (airship);23.0;;;23.0;;;0.0
1918;8;;;Germany;Military - German Navy;;Zeppelin L-70 (airship);22.0;;;22.0;;;0.0
1918;8;10.0;;;Military - German Navy;;Zeppelin L-53 (airship);19.0;;;19.0;;;0.0
1918;12;;New Jersey;United States;US Aerial Mail Service;;De Havilland DH-4;1.0;0.0;1.0;1.0;0.0;1.0;0.0
1919;5;;Ohio;United States;US Aerial Mail Service;;De Havilland DH-4;1.0;0.0;1.0;1.0;0.0;1.0;0.0
1919;7;;Pennsylvania;United States;US Aerial Mail Service;;De Havilland DH-4;1.0;0.0;1.0;1.0;0.0;1.0;0.0
1919;7;16.0;Illinois;United States;Wingfoot Air Express Goodyear Tire;Shuttle;FD Type Dirigible;;;;3.0;2.0;1.0;10.0
1919;8;;;Italy;Caproni Company;Venice  Taliedo;Caproni Ca.48;14.0;12.0;2.0;14.0;12.0;2.0;0.0
1919;10;;;;Aircraft Transport and Travel;;De Havilland DH-4;1.0;0.0;1.0;1.0;0.0;1.0;0.0
